DATE,PRICE
1990-01-01,588.036231884057
1990-02-01,608.475
1990-03-01,618.075757575756
1990-04-01,609.507936507935
1990-05-01,621.768115942028
1990-06-01,612.373015873015
1990-07-01,589.287878787878
1990-08-01,581.152173913044
1990-09-01,580.133333333332
1990-10-01,594.23188405797
1990-11-01,601.666666666666
1990-12-01,638.158730158729
1991-01-01,625.485507246375
1991-02-01,593.75
1991-03-01,571.357142857143
1991-04-01,556.469696969696
1991-05-01,566.695652173913
1991-06-01,588.683333333332
1991-07-01,579.224637681158
1991-08-01,575.613636363636
1991-09-01,600.460317460316
1991-10-01,600.840579710144
1991-11-01,605.134920634919
1991-12-01,581.659090909091
1992-01-01,554.579710144926
1992-02-01,525.666666666665
1992-03-01,566.878787878787
1992-04-01,582.810606060605
1992-05-01,566.230158730158
1992-06-01,581.51515151515
1992-07-01,568.595652173913
1992-08-01,543.490476190476
1992-09-01,554.742424242423
1992-10-01,567.984848484847
1992-11-01,568.190476190476
1992-12-01,565.484057971013
1993-01-01,582.515873015871
1993-02-01,570.791666666665
1993-03-01,574.586956521739
1993-04-01,607.136363636364
1993-05-01,640.149206349205
1993-06-01,649.857575757574
1993-07-01,695.054545454546
1993-08-01,698.106060606059
1993-09-01,713.939393939392
1993-10-01,756.531746031744
1993-11-01,792.559090909091
1993-12-01,904.840579710143
1994-01-01,891.039682539681
1994-02-01,792.11
1994-03-01,770.204347826087
1994-04-01,757.888888888889
1994-05-01,756.992424242424
1994-06-01,722.045454545455
1994-07-01,660.619047619048
1994-08-01,643.347826086957
1994-09-01,667
1994-10-01,647.47619047619
1994-11-01,685.25
1994-12-01,688.386363636364
1995-01-01,669.090909090909
1995-02-01,641.4
1995-03-01,645.478260869565
1995-04-01,620.75
1995-05-01,613.217391304348
1995-06-01,641.136363636364
1995-07-01,671.047619047619
1995-08-01,643
1995-09-01,627.380952380952
1995-10-01,629.636363636364
1995-11-01,600.909090909091
1995-12-01,577.47619047619
1996-01-01,568.739130434783
1996-02-01,567.047619047619
1996-03-01,549.666666666667
1996-04-01,594.954545454546
1996-05-01,617.913043478261
1996-06-01,585.35
1996-07-01,567.826086956522
1996-08-01,565.863636363636
1996-09-01,561.952380952381
1996-10-01,517.565217391304
1996-11-01,515.285714285714
1996-12-01,512.545454545455
1997-01-01,527.391304347826
1997-02-01,522.15
1997-03-01,533.333333333333
1997-04-01,533.272727272727
1997-05-01,551.727272727273
1997-06-01,534.190476190476
1997-07-01,523.608695652174
1997-08-01,532.904761904762
1997-09-01,550.772727272727
1997-10-01,591.304347826087
1997-11-01,652
1997-12-01,630.04347826087
1998-01-01,629.318181818182
1998-02-01,637.45
1998-03-01,661.727272727273
1998-04-01,687.272727272727
1998-05-01,747.714285714286
1998-06-01,717
1998-07-01,701.869565217391
1998-08-01,658.52380952381
1998-09-01,651.5
1998-10-01,643.454545454546
1998-11-01,639.47619047619
1998-12-01,607.434782608696
1999-01-01,570.666666666667
1999-02-01,481.7
1999-03-01,454.260869565217
1999-04-01,475.727272727273
1999-05-01,491.904761904762
1999-06-01,462.636363636364
1999-07-01,436.863636363636
1999-08-01,460.227272727273
1999-09-01,464.318181818182
1999-10-01,437.714285714286
1999-11-01,431.318181818182
1999-12-01,430.217391304348
2000-01-01,428.52380952381
2000-02-01,405.52380952381
2000-03-01,406.869565217391
2000-04-01,436
2000-05-01,412.913043478261
2000-06-01,373.227272727273
2000-07-01,353.857142857143
2000-08-01,352.652173913044
2000-09-01,354.857142857143
2000-10-01,338.909090909091
2000-11-01,332.545454545455
2000-12-01,356.047619047619
2001-01-01,346.913043478261
2001-02-01,349.1
2001-03-01,379.863636363636
2001-04-01,372.285714285714
2001-05-01,379.652173913044
2001-06-01,412.619047619048
2001-07-01,453.090909090909
2001-08-01,465.217391304348
2001-09-01,430.2
2001-10-01,440.478260869565
2001-11-01,576.272727272727
2001-12-01,627.619047619048
2002-01-01,567.434782608696
2002-02-01,563.05
2002-03-01,546.52380952381
2002-04-01,545.681818181818
2002-05-01,525
2002-06-01,556.85
2002-07-01,596.217391304348
2002-08-01,639.772727272727
2002-09-01,631.619047619048
2002-10-01,635.434782608696
2002-11-01,732.380952380952
2002-12-01,729.954545454546
2003-01-01,659.391304347826
2003-02-01,640.6
2003-03-01,647
2003-04-01,667.636363636364
2003-05-01,678.272727272727
2003-06-01,634.047619047619
2003-07-01,577.521739130435
2003-08-01,552.238095238095
2003-09-01,617.5
2003-10-01,705.217391304348
2003-11-01,708.8
