DATE,PRICE
1990-01-01,209.8274827
1990-02-01,208.449456325
1990-03-01,218.2793778
1990-04-01,220.66795685
1990-05-01,228.31600323125
1990-06-01,221.05839765625
1990-07-01,222.4593911375
1990-08-01,222.71202930625
1990-09-01,226.91500975
1990-10-01,224.802035975
1990-11-01,211.84858805
1990-12-01,213.8696934
1991-01-01,207.50780496875
1991-02-01,210.12605508125
1991-03-01,213.31848285
1991-04-01,215.89079875
1991-05-01,210.654298525
1991-06-01,208.8628642375
1991-07-01,199.10184408125
1991-08-01,208.081982625
1991-09-01,216.23530534375
1991-10-01,205.7393377875
1991-11-01,205.67043646875
1991-12-01,204.15460745625
1992-01-01,208.61022606875
1992-02-01,211.1595748625
1992-03-01,216.14343691875
1992-04-01,211.2973775
1992-05-01,220.36938446875
1992-06-01,224.3886280625
1992-07-01,208.10494973125
1992-08-01,202.86844950625
1992-09-01,202.8914166125
1992-10-01,197.67788349375
1992-11-01,205.21109434375
1992-12-01,208.90879845
1993-01-01,212.33089728125
1993-02-01,210.03418665625
1993-03-01,214.12233156875
1993-04-01,217.6822330375
1993-05-01,221.494772675
1993-06-01,221.9081805875
1993-07-01,258.8392874375
1993-08-01,246.64375401875
1993-09-01,236.0559180375
1993-10-01,226.088193925
1993-11-01,243.93363548125
1993-12-01,252.52333321875
1994-01-01,255.60092545625
1994-02-01,249.67541204375
1994-03-01,250.54816208125
1994-04-01,242.7623130625
1994-05-01,250.22662259375
1994-06-01,249.606510725
1994-07-01,223.24027275
1994-08-01,214.0993644625
1994-09-01,207.87527866875
1994-10-01,198.711403275
1994-11-01,205.39483119375
1994-12-01,206.3824167625
1995-01-01,202.50097580625
1995-02-01,203.64933111875
1995-03-01,209.34517346875
1995-04-01,211.27441039375
1995-05-01,211.64188409375
1995-06-01,216.64871325625
1995-07-01,226.91500975
1995-08-01,218.922456775
1995-09-01,232.58788499375
1995-10-01,240.99384588125
1995-11-01,249.7443133625
1995-12-01,263.96095213125
1996-01-01,270.11613660625
1996-02-01,268.255801
1996-03-01,265.775353525
1996-04-01,290.41905853125
1996-05-01,295.51775611875
1996-06-01,284.60838065
1996-07-01,288.76542688125
1996-08-01,296.29863773125
1996-09-01,297.49292725625
1996-10-01,259.8039059
1996-11-01,255.27938596875
1996-12-01,257.16268868125
1997-01-01,268.09503125625
1997-02-01,280.54320284375
1997-03-01,305.8759210375
1997-04-01,313.363197675
1997-05-01,319.8399216375
1997-06-01,304.7734999375
1997-07-01,281.1633147125
1997-08-01,267.58975491875
1997-09-01,255.21048465
1997-10-01,250.7548660375
1997-11-01,265.43084693125
1997-12-01,254.59037278125
1998-01-01,246.00067504375
1998-02-01,247.42463563125
1998-03-01,240.12109584375
1998-04-01,235.091299575
1998-05-01,236.1477864625
1998-06-01,231.11799019375
1998-07-01,232.42711525
1998-08-01,202.2483376375
1998-09-01,193.3371004125
1998-10-01,200.75547573125
1998-11-01,209.89638401875
1998-12-01,204.9125219625
1999-01-01,195.036666275
1999-02-01,179.67167219375
1999-03-01,175.0552838375
1999-04-01,177.5357313125
1999-05-01,171.44944815625
1999-06-01,170.0025204625
1999-07-01,158.31226338125
1999-08-01,172.00065870625
1999-09-01,180.63629065625
1999-10-01,178.1788102875
1999-11-01,171.1968099875
1999-12-01,169.95658625
2000-01-01,180.3836524875
2000-02-01,185.75795535
2000-03-01,190.97148846875
2000-04-01,197.1037058375
2000-05-01,200.8703112625
2000-06-01,186.952244875
2000-07-01,169.497244125
2000-08-01,167.86657958125
2000-09-01,180.45255380625
2000-10-01,173.60835614375
2000-11-01,177.19122471875
2000-12-01,185.96465930625
2001-01-01,175.4227575375
2001-02-01,167.45317166875
2001-03-01,164.37557943125
2001-04-01,158.6108357625
2001-05-01,163.87030309375
2001-06-01,170.232191525
2001-07-01,186.65367249375
2001-08-01,182.74926443125
2001-09-01,172.3451653
2001-10-01,160.6319411125
2001-11-01,162.5611780375
2001-12-01,160.14963188125
2002-01-01,160.05776345625
2002-02-01,160.19556609375
2002-03-01,168.69339540625
2002-04-01,171.35757973125
2002-05-01,176.64001416875
2002-06-01,185.36751454375
2002-07-01,209.0925353
2002-08-01,208.2197852625
2002-09-01,208.2197852625
2002-10-01,200.08942965
2002-11-01,210.21792350625
2002-12-01,208.24275236875
2003-01-01,208.67359625
2003-02-01,209.613139105263
2003-03-01,210.22208075
2003-04-01,221.70886125
2003-05-01,232.412651
2003-06-01,229.77497825
2003-07-01,214.0320525
2003-08-01,208.21867425
2003-09-01,231.69964825
2003-10-01,268.987847282609
2003-11-01,279.721085644737
2003-12-01,283.185366068182
2004-01-01,300.8987522625
2004-02-01,316.551810197368
2004-03-01,360.675360423913
2004-04-01,363.50454925
2004-05-01,347.87097975
2004-06-01,320.229696340909
2004-07-01,289.785314
2004-08-01,225.7900365
2004-09-01,206.447103
2004-10-01,193.43370925
2004-11-01,195.8176755
2004-12-01,198.59095
2005-01-01,195.6647954625
2005-02-01,197.58924675
2005-03-01,233.180530704545
2005-04-01,228.7645265
2005-05-01,233.462471
2005-06-01,254.742401931818
2005-07-01,253.3478115
2005-08-01,230.426931684783
2005-09-01,212.01552325
2005-10-01,211.16691875
2005-11-01,210.9000895
2005-12-01,216.542872
2006-01-01,214.0090876875
2006-02-01,214.365646618421
2006-03-01,212.714071956522
2006-04-01,208.902438592105
2006-05-01,217.355687181818
2006-06-01,216.503901409091
2006-07-01,217.2517192125
2006-08-01,203.84366351087
2006-09-01,199.307014725
2006-10-01,217.885965579545
2006-11-01,244.00003925
2006-12-01,243.307595475
