DATE,PRICE
1991-05-01,1063.39990234375
1991-06-01,1041.47998046875
1991-07-01,996.855224609375
1991-08-01,1136.35131835938
1991-09-01,1273.31982421875
1991-10-01,1304.39990234375
1991-11-01,1316.93505859375
1991-12-01,1366.60913085938
1992-01-01,1281.56811523438
1992-02-01,1191.04858398438
1992-03-01,1127.96362304688
1992-04-01,1045.48022460938
1992-05-01,995.311279296875
1992-06-01,962.632080078125
1992-07-01,1105.23828125
1992-08-01,1182.10791015625
1992-09-01,1118.927734375
1992-10-01,1071.47534179688
1992-11-01,1076.38452148438
1992-12-01,1034.90209960938
1993-01-01,1035.56970214844
1993-02-01,990.991333007813
1993-03-01,977.318908691406
1993-04-01,1010.74786376953
1993-05-01,998.066650390625
1993-06-01,941.685424804688
1993-07-01,1058.64367675781
1993-08-01,1087.17260742188
1993-09-01,1263.30114746094
1993-10-01,1290.47204589844
1993-11-01,1321.7763671875
1993-12-01,1359.50708007813
1994-01-01,1263.62622070313
1994-02-01,1226.59399414063
1994-03-01,1307.18884277344
1994-04-01,1244.00183105469
1994-05-01,1378.693359375
1994-06-01,1458.94848632813
1994-07-01,1555.869140625
1994-08-01,1551.17114257813
1994-09-01,1486.26354980469
1994-10-01,1447.70764160156
1994-11-01,1430.61608886719
1994-12-01,1397.50695800781
1995-01-01,1467.55847167969
1995-02-01,1510.63232421875
1995-03-01,1484.93188476563
1995-04-01,1463.96557617188
1995-05-01,1448.40893554688
1995-06-01,1437.16955566406
1995-07-01,1360.7626953125
1995-08-01,1410.49462890625
1995-09-01,1395.07531738281
1995-10-01,1394.64013671875
1995-11-01,1435.90319824219
1995-12-01,1380.9619140625
1996-01-01,1349.11267089844
1996-02-01,1370.55334472656
1996-03-01,1338.60034179688
1996-04-01,1457.33117675781
1996-05-01,1524.44140625
1996-06-01,1537.56213378906
1996-07-01,1490.37707519531
1996-08-01,1501.71887207031
1996-09-01,1475.95288085938
1996-10-01,1477.580078125
1996-11-01,1465.53503417969
1996-12-01,1474.232421875
1997-01-01,1428.79064941406
1997-02-01,1373.28405761719
1997-03-01,1521.87548828125
1997-04-01,1570.61486816406
1997-05-01,1568.29809570313
1997-06-01,1693.62377929688
1997-07-01,1677.43139648438
1997-08-01,1649.19458007813
1997-09-01,1765.58422851563
1997-10-01,1741.09875488281
1997-11-01,1696.37390136719
1997-12-01,1738.74926757813
1998-01-01,1670.671875
1998-02-01,1643.22595214844
1998-03-01,1721.06396484375
1998-04-01,1720.15942382813
1998-05-01,1781.40881347656
1998-06-01,1723.35205078125
1998-07-01,1712.24377441406
1998-08-01,1682.50231933594
1998-09-01,1685.86206054688
1998-10-01,1647.51867675781
1998-11-01,1599.91125488281
1998-12-01,1524.12133789063
1999-01-01,1455.78771972656
1999-02-01,1411.13742501879
1999-03-01,1313.89494312711
1999-04-01,1177.88805990602
1999-05-01,1059.23634621547
1999-06-01,1162.90740491026
1999-07-01,1113.2391724194
1999-08-01,1003.57274583327
1999-09-01,1060.56153712618
1999-10-01,1021.53721604018
1999-11-01,922.076617548214
1999-12-01,918.753685635882
2000-01-01,918.481742708907
2000-02-01,860.739968864887
2000-03-01,925.925803499116
2000-04-01,911.952356580254
2000-05-01,909.422413991637
2000-06-01,948.22785784672
2000-07-01,967.111550127046
2000-08-01,877.792726353178
2000-09-01,882.729175628467
2000-10-01,877.7229441397
2000-11-01,873.987159458498
2000-12-01,892.782646836661
2001-01-01,966.394992193041
2001-02-01,1157.46657541196
2001-03-01,1124.40551391217
2001-04-01,1083.66282594128
2001-05-01,1077.43612686205
2001-06-01,973.29105488682
2001-07-01,965.322726956721
2001-08-01,1032.48380906939
2001-09-01,1026.20329397817
2001-10-01,1084.86237757982
2001-11-01,1231.55077881715
2001-12-01,1337.42945636196
2002-01-01,1385.93297713796
2002-02-01,1490.38718251107
2002-03-01,1592.0292323078
2002-04-01,1568.14640848596
2002-05-01,1604.69583787364
2002-06-01,1656.45666951878
2002-07-01,1871.99852314152
2002-08-01,1959.27273311832
2002-09-01,2167.41225964985
2002-10-01,2201.49510769065
2002-11-01,1825.05743790573
2002-12-01,2025.61102182395
2003-01-01,2190.13811118364
2003-02-01,2230.352249546
2003-03-01,1993.11300888278
2003-04-01,1932.19453123829
2003-05-01,1732.51744967774
2003-06-01,1579.10846477664
2003-07-01,1562.70990884092
2003-08-01,1565.54768021758
2003-09-01,1625.38851629466
2003-10-01,1481.68128782414
2003-11-01,1510.00935029147
2003-12-01,1627.28128473257
2004-01-01,1626.39785347296
2004-02-01,1566.08602785804
2004-03-01,1504.4284072765
2004-04-01,1435.66806573637
2004-05-01,1412.96118905473
2004-06-01,1407.88545649317
2004-07-01,1567.86437901554
2004-08-01,1727.33360265832
2004-09-01,1541.13666739243
2004-10-01,1483.8020496912
2004-11-01,1665.70854675731
2004-12-01,1672.74882933391
2005-01-01,1550.2155109952
2005-02-01,1633.9976032469
2005-03-01,1764.4528500814
2005-04-01,1585.950389068
2005-05-01,1509.46467002621
2005-06-01,1538.62995911765
2005-07-01,1488.31593213842
2005-08-01,1482.2308362734
2005-09-01,1504.1559980323
2005-10-01,1453.83030526272
2005-11-01,1428.77721016778
2005-12-01,1517.6103827326
2006-01-01,1576.22980089527
2006-02-01,1545.40110009994
2006-03-01,1545.05127637864
2006-04-01,1552.34094844902
2006-05-01,1594.29627918758
2006-06-01,1605.78038874784
2006-07-01,1673.20654474569
2006-08-01,1612.94257039368
2006-09-01,1566.33607223923
2006-10-01,1530.17100003858
2006-11-01,1582.54181245102
2006-12-01,1702.15624793705
