Fold,Prediction,Real Value,MSE,RMSE,MAE,MAPE,R-squared
1,0.6253593,0.6496337363292615,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.6471062,0.7072345616847955,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.69179314,0.6939763484356709,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.707099,0.6489619135589371,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.6752251,0.5863875712998332,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.6108834,0.6248053529727586,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.6032284,0.6892521404068985,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.6578815,0.7399533921885786,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.73430693,0.8186553588372185,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.8053755,0.8425781805195596,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.84640753,0.7447407066261744,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.7864161,0.5082232209866129,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.5725777,0.35011502990988275,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.34645748,0.3801266266872949,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.2993582,0.356695370713743,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.35520118,0.24381169354374976,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.3412208,0.2711164126902912,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.32966238,0.373991740147237,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.37767422,0.37613555053799863,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.4098031,0.3326208253553926,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.38995618,0.3145139884232948,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.3510558,0.30868564952475275,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.31831515,0.3472593361599223,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.333651,0.32260543437146993,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.33603454,0.29526733936920135,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.31869668,0.3062463555763828,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.31160492,0.3095943351727226,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.31187952,0.2927874405075057,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.30778223,0.307328663083388,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.3119321,0.2976207137183835,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
1,0.30983764,0.321815894948164,0.006973401735557429,0.0835068963353173,0.05786669994554525,0.13685335888273617,0.8048324889547859
2,0.33202899,0.3478346514110544,0.0007703525089033647,0.027755224893763062,0.02219119271071969,0.05515709570953492,0.5848827792182216
2,0.359243,0.3722854090859533,0.0007703525089033647,0.027755224893763062,0.02219119271071969,0.05515709570953492,0.5848827792182216
2,0.38544765,0.3692360798244414,0.0007703525089033647,0.027755224893763062,0.02219119271071969,0.05515709570953492,0.5848827792182216
2,0.38556162,0.3942686471062318,0.0007703525089033647,0.027755224893763062,0.02219119271071969,0.05515709570953492,0.5848827792182216
2,0.40875986,0.4450228091525681,0.0007703525089033647,0.027755224893763062,0.02219119271071969,0.05515709570953492,0.5848827792182216
2,0.45573863,0.42540734890724674,0.0007703525089033647,0.027755224893763062,0.02219119271071969,0.05515709570953492,0.5848827792182216
2,0.4434946,0.3896941564780112,0.0007703525089033647,0.027755224893763062,0.02219119271071969,0.05515709570953492,0.5848827792182216
2,0.4094428,0.4077784363687338,0.0007703525089033647,0.027755224893763062,0.02219119271071969,0.05515709570953492,0.5848827792182216
2,0.4214052,0.4039934423939293,0.0007703525089033647,0.027755224893763062,0.02219119271071969,0.05515709570953492,0.5848827792182216
2,0.41859782,0.438242916496953,0.0007703525089033647,0.027755224893763062,0.02219119271071969,0.05515709570953492,0.5848827792182216
2,0.45182583,0.4479075795293135,0.0007703525089033647,0.027755224893763062,0.02219119271071969,0.05515709570953492,0.5848827792182216
2,0.46425354,0.42332440426043494,0.0007703525089033647,0.027755224893763062,0.02219119271071969,0.05515709570953492,0.5848827792182216
2,0.44055942,0.4315515058092918,0.0007703525089033647,0.027755224893763062,0.02219119271071969,0.05515709570953492,0.5848827792182216
